twp,rate_high_edu,rate_call_911,rate_emp,rate_Race_w,income
NEW HANOVER,0.317394744,0.082007559,0.510239958,0.914124989,31053.83036
HATFIELD,0.313338322,0.133383225,0.554717633,0.725346842,28370.41909
NORRISTOWN,0.151412759,0.205126711,0.4893679,0.3495485,16071.41649
LOWER POTTSGROVE,0.281518862,0.164295169,0.502068167,0.852084712,29904.46757
LANSDALE,0.278301887,0.12987013,0.516295026,0.722862044,23601.85494
HORSHAM,0.352098728,0.133122572,0.529443132,0.857012265,31351.98423
SKIPPACK,0.313663707,0.071899169,0.372386136,0.759094815,29089.80127
LOWER SALFORD,0.35205298,0.106821192,0.527417219,0.887417219,33902.90563
PLYMOUTH,0.341897352,0.229057355,0.499487365,0.784029914,30087.94644
MONTGOMERY,0.430124656,0.127563822,0.553586363,0.740770242,36612.06054
UPPER MORELAND,0.304795089,0.171519827,0.518500083,0.829600133,26513.46524
CHELTENHAM,0.407066678,0.15123884,0.518331569,0.529186681,29999.45073
UPPER MERION,0.442571128,0.21938883,0.551457675,0.702493853,33985.32603
WHITEMARSH,0.465582625,0.174844863,0.513789933,0.879108251,42089.18685
UPPER GWYNEDD,0.452113395,0.107265994,0.50587409,0.810879837,36044.72705
LOWER PROVIDENCE,0.345737164,0.152614225,0.463181033,0.77327681,29974.24023
UPPER DUBLIN,0.46712736,0.125738331,0.509593483,0.810716905,38801.73756
WHITPAIN,0.464265023,0.133038395,0.518986675,0.800547743,44827.2784
DELAWARE,0.282258281,0.129910434,0.475194321,0.703859257,23426.97212
FRANCONIA,0.307569174,0.124857078,0.502096196,0.945193993,30670.28097
WEST CONSHOHOCKEN,0.486231314,0.730133753,0.609756098,0.891424076,40592.56019
LOWER MERION,0.532675964,0.177558655,0.47578824,0.817114586,43860.52692
LIMERICK,0.342860272,0.150459921,0.49217039,0.876040298,29730.39126
TOWAMENCIN,0.387165655,0.111485727,0.50724882,0.8091706,30966.28456
DOUGLASS,0.262819263,0.107038409,0.520179372,0.942971339,26339.20686
POTTSTOWN,0.168968898,0.225113626,0.481240531,0.735228589,18533.72338
BRIDGEPORT,0.238105679,0.144485858,0.590879193,0.846524885,22334.33414
AMBLER,0.298918083,0.111591963,0.539103555,0.7187017,23385.67929
CHESTER,0.363762858,0.129910434,0.508870447,0.8169756,31607.62789
UPPER HANOVER,0.265027322,0.102307225,0.55343048,0.986490589,31603.94566
SPRINGFIELD,0.432684905,0.136477955,0.490632859,0.800698044,32121.82903
ROCKLEDGE,0.243816254,0.11464468,0.533568905,0.906949352,25861.3247
ABINGTON,0.355383977,0.130986957,0.508722241,0.766691321,28390.24675
WEST NORRITON,0.378311258,0.12531839,0.574694345,0.821446765,30555.74038
ROYERSFORD,0.262405383,0.131833474,0.580529857,0.866904962,23399.46699
UPPER SALFORD,0.288734521,0.093627303,0.505889459,0.980066445,29410.78496
LOWER MORELAND,0.422749904,0.155649177,0.456759862,0.873228648,34743.48832
CONSHOHOCKEN,0.434904459,0.132356688,0.633248408,0.887898089,35850.95541
PENNSBURG,0.215947712,0.13751634,0.508235294,0.93620915,21577.81673
TELFORD,0.212282497,0.118935517,0.489662231,0.755168884,23537.02068
EAST NORRITON,0.352558543,0.178447528,0.521248916,0.816710032,31541.09063
UPPER FREDERICK,0.233059257,0.113410831,0.519988659,0.920328891,29476.20697
UPPER PROVIDENCE,0.407991784,0.131780413,0.513490804,0.849593875,38675.17841
SALFORD,0.308641975,0.074459877,0.547453704,0.982638889,30418.3561
LEHIGH,0.247679426,0.129910434,0.465819103,0.704409375,20793.23241
LOWER GWYNEDD,0.480989424,0.170177432,0.467703872,0.788130408,38211.95
MARLBOROUGH,0.198081089,0.111730115,0.521200867,0.955122253,25588.50201
BRYN ATHYN,0.389251997,0.152505447,0.445170661,0.926652142,26750.72186
HATBORO,0.268834688,0.134688347,0.524661247,0.851626016,26478.99566
WORCESTER,0.433350177,0.097220819,0.518241536,0.815462355,43717.52835
COLLEGEVILLE,0.284099617,0.115900383,0.454022989,0.827777778,24966.79004
SCHWENKSVILLE,0.257006152,0.19138756,0.511278195,0.948051948,23123.36842
PERKIOMEN,0.345498252,0.061298077,0.519886364,0.818181818,36411.2052
SOUDERTON,0.229144667,0.083119626,0.546688792,0.860461608,23905.05174
UPPER POTTSGROVE,0.245035594,0.118209067,0.548332709,0.926751592,29941.60285
LOWER FREDERICK,0.264185855,0.062088816,0.604440789,0.939967105,32281.08306
BUCKS,0.300330523,0.129910434,0.509603388,0.864249006,28173.03053
RED HILL,0.197284345,0.140974441,0.439696486,0.902955272,22905.45927
WEST POTTSGROVE,0.14241406,0.159731197,0.522874128,0.842078056,22589.55803
EAST GREENVILLE,0.16200741,0.084540249,0.550690468,0.945772988,25144.10744
BERKS,0.197050073,0.129910434,0.473211382,0.759564937,20604.10284
NORTH WALES,0.328081557,0.116774791,0.602718567,0.897744825,28405.64103
JENKINTOWN,0.436963398,0.164934478,0.511070944,0.901717126,28144.17352
TRAPPE,0.350807594,0.098328138,0.492774157,0.855199773,29150.35421
NARBERTH,0.531359291,0.07530893,0.603404057,0.898577757,37416.33668
GREEN LANE,0.20212766,0.180851064,0.688829787,0.984042553,25581.78191
PHILADELPHIA,0.188064845,0.129910434,0.40281017,0.365717796,14037.83179
