"bird","treatment","response"
1,"Control","Malaria"
2,"Control","Malaria"
3,"Control","Malaria"
4,"Control","Malaria"
5,"Control","Malaria"
6,"Control","Malaria"
7,"Control","Malaria"
8,"Egg removal","Malaria"
9,"Egg removal","Malaria"
10,"Egg removal","Malaria"
11,"Egg removal","Malaria"
12,"Egg removal","Malaria"
13,"Egg removal","Malaria"
14,"Egg removal","Malaria"
15,"Egg removal","Malaria"
16,"Egg removal","Malaria"
17,"Egg removal","Malaria"
18,"Egg removal","Malaria"
19,"Egg removal","Malaria"
20,"Egg removal","Malaria"
21,"Egg removal","Malaria"
22,"Egg removal","Malaria"
23,"Control","No Malaria"
24,"Control","No Malaria"
25,"Control","No Malaria"
26,"Control","No Malaria"
27,"Control","No Malaria"
28,"Control","No Malaria"
29,"Control","No Malaria"
30,"Control","No Malaria"
31,"Control","No Malaria"
32,"Control","No Malaria"
33,"Control","No Malaria"
34,"Control","No Malaria"
35,"Control","No Malaria"
36,"Control","No Malaria"
37,"Control","No Malaria"
38,"Control","No Malaria"
39,"Control","No Malaria"
40,"Control","No Malaria"
41,"Control","No Malaria"
42,"Control","No Malaria"
43,"Control","No Malaria"
44,"Control","No Malaria"
45,"Control","No Malaria"
46,"Control","No Malaria"
47,"Control","No Malaria"
48,"Control","No Malaria"
49,"Control","No Malaria"
50,"Control","No Malaria"
51,"Egg removal","No Malaria"
52,"Egg removal","No Malaria"
53,"Egg removal","No Malaria"
54,"Egg removal","No Malaria"
55,"Egg removal","No Malaria"
56,"Egg removal","No Malaria"
57,"Egg removal","No Malaria"
58,"Egg removal","No Malaria"
59,"Egg removal","No Malaria"
60,"Egg removal","No Malaria"
61,"Egg removal","No Malaria"
62,"Egg removal","No Malaria"
63,"Egg removal","No Malaria"
64,"Egg removal","No Malaria"
65,"Egg removal","No Malaria"
