,twp,rate_high_edu,rate_call_911,rate_emp,rate_Race_w,income
0,NEW HANOVER,0.31739474378131316,0.08200755911048607,0.5102399578096158,0.9141249890129208,31053.83035949723
1,HATFIELD,0.31333832249150884,0.13338322491508836,0.5547176328363365,0.725346842438547,28370.41908928674
2,NORRISTOWN,0.1514127585202447,0.2051267113311972,0.4893678997960967,0.34954849985435477,16071.416487037577
3,LOWER POTTSGROVE,0.281518861681006,0.164295168762409,0.5020681667769689,0.8520847121111846,29904.467571144938
4,LANSDALE,0.2783018867924528,0.12987012987012986,0.516295025728988,0.7228620436167607,23601.854937515312
5,HORSHAM,0.3520987278129047,0.13312257179858308,0.5294431324750514,0.8570122647977451,31351.98423097433
6,SKIPPACK,0.3136637066743054,0.07189916929246634,0.3723861357777141,0.7590948152391864,29089.801274706388
7,LOWER SALFORD,0.35205298013245034,0.10682119205298013,0.5274172185430464,0.8874172185430463,33902.90562913907
8,PLYMOUTH,0.3418973523912912,0.22905735480369097,0.49948736505638985,0.7840299137567095,30087.94644472589
9,MONTGOMERY,0.4301246564976702,0.1275638217372257,0.5535863634553347,0.7407702417459875,36612.06053606277
10,UPPER MORELAND,0.30479508876721423,0.1715198274431724,0.5185000829600133,0.8296001327360213,26513.465239754438
11,CHELTENHAM,0.40706667752177805,0.15123883958859127,0.5183315693777307,0.5291866807783114,29999.45073136313
12,UPPER MERION,0.44257112750263433,0.21938883034773446,0.551457674745346,0.7024938531787847,33985.32602739726
13,WHITEMARSH,0.4655826246839807,0.17484486324982762,0.5137899333486555,0.8791082509767869,42089.186853596875
14,UPPER GWYNEDD,0.4521133954795045,0.10726599412590984,0.5058740901545141,0.8108798365470565,36044.72704635423
15,LOWER PROVIDENCE,0.3457371643900141,0.15261422515308526,0.46318103312921965,0.7732768095462396,29974.24022609515
16,UPPER DUBLIN,0.46712735976527814,0.1257383314673976,0.5095934833803034,0.8107169053777554,38801.73755935606
17,WHITPAIN,0.46426502343708853,0.13303839469110443,0.5189866750934851,0.8005477431927108,44827.278401011215
18,DELAWARE,0.28225828061832425,0.1299104337563676,0.4751943205346472,0.7038592567317706,23426.97212074223
19,FRANCONIA,0.3075691744797622,0.12485707752115252,0.5020961963564297,0.9451939934446223,30670.280966537084
20,WEST CONSHOHOCKEN,0.48623131392604246,0.7301337529504327,0.6097560975609756,0.8914240755310779,40592.560188827694
21,LOWER MERION,0.5326759640745402,0.17755865469151338,0.47578823975589996,0.8171145856677412,43860.52691823683
22,LIMERICK,0.3428602715724923,0.1504599211563732,0.49217038983793254,0.8760402978537013,29730.391261498025
23,TOWAMENCIN,0.3871656552034165,0.11148572712969207,0.5072488199595415,0.8091706001348618,30966.284558327712
24,DOUGLASS,0.2628192630142328,0.10703840904659778,0.5201793721973094,0.9429713394423864,26339.206862936244
25,POTTSTOWN,0.1689688976027092,0.22511362623652081,0.4812405311469566,0.7352285892522948,18533.723375813206
26,BRIDGEPORT,0.23810567857925893,0.14448585836439376,0.5908791931593949,0.8465248848936636,22334.3341372506
27,AMBLER,0.29891808346213294,0.1115919629057187,0.5391035548686244,0.7187017001545595,23385.679289026277
28,CHESTER,0.3637628584207126,0.1299104337563676,0.5088704467524723,0.8169756000596332,31607.62788848581
29,UPPER HANOVER,0.2650273224043716,0.10230722525804493,0.5534304796599878,0.9864905889496054,31603.945658773526
30,SPRINGFIELD,0.43268490478879024,0.1364779551403788,0.49063285941590107,0.8006980444490068,32121.82903043679
31,ROCKLEDGE,0.24381625441696114,0.11464468001570476,0.5335689045936396,0.9069493521790342,25861.324695720457
32,ABINGTON,0.35538397705337976,0.1309869572276442,0.5087222412642289,0.7666913210542456,28390.24674832681
33,WEST NORRITON,0.3783112582781457,0.12531839021905247,0.5746943453897096,0.8214467651553744,30555.740384615383
34,ROYERSFORD,0.2624053826745164,0.13183347350714886,0.5805298570227082,0.8669049621530698,23399.466989066445
35,UPPER SALFORD,0.2887345212926608,0.09362730292962851,0.5058894593778315,0.9800664451827242,29410.784959226818
36,LOWER MORELAND,0.42274990425124476,0.1556491765607047,0.4567598621217924,0.8732286480275756,34743.48831865186
37,CONSHOHOCKEN,0.4349044585987261,0.13235668789808916,0.6332484076433121,0.8878980891719745,35850.95541401274
38,PENNSBURG,0.21594771241830066,0.13751633986928105,0.508235294117647,0.9362091503267974,21577.816732026145
39,TELFORD,0.21228249744114636,0.11893551688843398,0.48966223132036846,0.7551688843398158,23537.02067553736
40,EAST NORRITON,0.3525585429314831,0.1784475281873374,0.5212489158716392,0.8167100318010986,31541.09063313096
41,UPPER FREDERICK,0.2330592571590587,0.11341083073433512,0.5199886589169266,0.9203288914091295,29476.20697476609
42,UPPER PROVIDENCE,0.40799178414713844,0.13178041265988236,0.5134908038465129,0.8495938754551395,38675.178414713846
43,SALFORD,0.30864197530864196,0.07445987654320987,0.5474537037037037,0.9826388888888888,30418.35609567901
44,LEHIGH,0.24767942556551575,0.1299104337563676,0.46581910312780483,0.7044093754615586,20793.232406807776
45,LOWER GWYNEDD,0.4809894240013985,0.17017743204265362,0.4677038720391574,0.788130408181103,38211.95000437024
46,MARLBOROUGH,0.19808108944599195,0.11173011451562984,0.5212008666047663,0.9551222531723924,25588.502011761066
47,BRYN ATHYN,0.38925199709513436,0.15250544662309368,0.44517066085693535,0.9266521423384169,26750.721859114015
48,HATBORO,0.26883468834688345,0.13468834688346884,0.5246612466124662,0.8516260162601627,26478.99566395664
49,WORCESTER,0.4333501768569985,0.09722081859525013,0.5182415361293583,0.8154623547246084,43717.528347650325
50,COLLEGEVILLE,0.28409961685823754,0.11590038314176246,0.4540229885057471,0.8277777777777777,24966.790038314175
51,SCHWENKSVILLE,0.25700615174299385,0.19138755980861244,0.5112781954887218,0.948051948051948,23123.368421052633
52,PERKIOMEN,0.3454982517482518,0.06129807692307692,0.5198863636363636,0.8181818181818182,36411.20520104896
53,SOUDERTON,0.22914466737064415,0.08311962588625735,0.5466887916729521,0.8604616080856841,23905.051742344243
54,UPPER POTTSGROVE,0.24503559385537654,0.11820906706631697,0.5483327088797303,0.9267515923566879,29941.602847508428
55,LOWER FREDERICK,0.2641858552631579,0.062088815789473686,0.6044407894736842,0.9399671052631579,32281.08305921053
56,BUCKS,0.3003305233259369,0.1299104337563676,0.5096033879839036,0.8642490059538929,28173.030526680694
57,RED HILL,0.19728434504792333,0.1409744408945687,0.4396964856230032,0.9029552715654952,22905.45926517572
58,WEST POTTSGROVE,0.14241406048074437,0.1597311966916516,0.5228741276815715,0.8420780563453089,22589.558025329545
59,EAST GREENVILLE,0.162007409902324,0.08454024924216907,0.5506904681711013,0.9457729875378915,25144.1074435837
60,BERKS,0.19705007304442362,0.1299104337563676,0.47321138231111587,0.7595649367352783,20604.10283975364
61,NORTH WALES,0.32808155699721964,0.11677479147358666,0.6027185665739883,0.8977448254556688,28405.641025641024
62,JENKINTOWN,0.4369633981021238,0.1649344780840488,0.5110709444193403,0.9017171260732038,28144.17352010845
63,TRAPPE,0.3508075942193256,0.09832813828279965,0.49277415698498156,0.8551997733068858,29150.35420799093
64,NARBERTH,0.5313592912100723,0.07530892982047097,0.6034040568897179,0.8985777570529261,37416.336675215665
65,GREEN LANE,0.20212765957446807,0.18085106382978725,0.6888297872340425,0.9840425531914894,25581.781914893618
66,PHILADELPHIA,0.18806484527924702,0.1299104337563676,0.4028101703385948,0.365717796010162,14037.831790637625
